job_id,job_title,company,industry,location,experience,education,salary,tags,update_date,job_description,job_categories,management_responsibility,work_shift,remote_work,BT_EXP,languages,tools,work_skills,other_conditions,update_date_clean,unique_key
8q55j,工研院院部_AI工程師,工研院 _財團法人工業技術研究院,其他專業／科學及技術業,新竹市,經歷不拘,碩士,"月薪55,000元以上","年終獎金, 節日獎金/禮品, 津貼/補助, 優於勞基法特休, 彈性上下班",,"1.研發AI技術與培育AI素養：透過研發Deep Learning, Supervised Fine Tuning, Reinforcement Learning, Diffusion Model, Optimization等AI核心技術，培育AI素養 
2.大型語言模型研究與跨領域應用：分析使用各種先進的LLM, LRM, VLM, Multimodal LLM, Time-series foundation models，並與領域團隊/產業合作，發基於先進大語言模型的多元化領域AI應用
3.根據產業應用需求，使用領域私有資料建構各種類型的RAG(Naïve RAG、Advanced RAG、GraphRAG、Agentic RAG等)產業應用
4.建構Agentic AI自主化運作流程，根據應用需求發展Agentic Workflow, Partial/Full Autonomous Agentic AI","AI工程師, 軟體工程師, 演算法工程師",不需負擔管理責任,日班，上班7:30~9:00、下班16:30~18:00,未知,無需出差外派,英文,"C, C++, Python, PyTorch","機器學習, AI","1.工作技能：
(1)具有AI與機器學習相關知識與經驗
(2)具有資料前處理經驗
(3)具有使用PyTorch、Python、C++、C 等程式語言之經驗，熟悉者優先

2.加分條件：
(1)具有使用 Hugging Face相關套件(Transformers、PEFT、Datasets, Tokenizers等)者佳
(2)具有實作Langchain/LangGraph, LlamaIbdex, vLLM, Ollma等經驗者尤佳",CRAWL_2025-11-26,8q55j|CRAWL_2025-11-26
8qta9,★年後報到★AI數位系統工程師(仁德廠),奇美實業股份有限公司,合成樹脂／塑膠及橡膠製造業,台南市仁德區,2年以上,大學,待遇面議,"年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股, 優於勞基法特休",,"※【本職缺僅接受奇美實業官方網站投遞履歷】
請至奇美人才網投遞個人履歷表，奇美人才網網址：http://www.chimeicorp.com/recruit/

★此為2026年度人力計劃性招募，採批次面試，預計於2025.11月下旬後陸續進行面試通知與安排，請靜候佳音！

★工作內容：
1.數位系統開發與維運，進行前後端開發、AP串接、資料庫設計。
2.協助AI應用導入與開發，含影像辨識、異常偵測、預測分析、生成式AI應用等。
3.數據的串接與整合（如 MES、PI、ERP 系統）。
4.數據資料建模及數據資料應用等工作執行。
5.協助內部導入數位化工具與流程優化。
6.其他程式開發及數位專案協作。

★預計錄取上班日：2026年3月(實際日期依公司正式任用通知日為主)。","MES工程師, AI工程師",不需負擔管理責任,日班,未知,無需出差外派,不拘,"Excel, PowerPoint, Word, MES",不拘,"1.具備程式開發能力，熟悉任一後端語言（Python／Node.js／C#／JavaScript）
2.熟悉 SQL語法與資料串接方式
3.熟悉Web開發流程以及前端框架或雲端平台開發經驗
4.曾參與AI或數位轉型專案，了解其基本流程與架構者佳
5.熟悉製造業資訊系統（MES / PI / ERP / SCADA 等）之操作或整合經驗
6.具備跨部門溝通與專案協作能力",CRAWL_2025-11-26,8qta9|CRAWL_2025-11-26
8sho1,IT/MIS 資深資訊人員(儲幹/數位轉型),TOTO_台灣東陶股份有限公司,家庭電器／設備及用品批發業,台北市信義區,5年以上,專科,待遇面議,"外商公司, 距捷運象山站約390公尺, 年終獎金, 節日獎金/禮品, 津貼/補助",11/26,"【加入我們，一起推動企業數位轉型！IT熱血夥伴招募中】
TOTO台灣東陶正積極推動數位轉型（DX），期望透過科技應用全面提升各部門營運效率，強化整體同仁實務應用能力。
我們正在尋找一位對資訊科技充滿熱情、願意挑戰並樂於解決問題的儲備幹部，成為推動公司成長的重要夥伴！

【工作內容】

1.DX企劃實踐
● 協助公司進行數位轉型，確認及蒐集各部門問題及需求
● 協助各單位進行流程優化、分析數位化的可行性
● 協助現有數位工具的落地導入 (AI、UiPath、Power apps)
● 對微軟產品線有一定的了解及興趣(Power Platform系列)

2.DX專案管理
● 實際參與各單位的專案進行，專案WBS管理及資源、風險管理
● 公司同仁及廠商、工程師間的溝通窗口，有效協調專案項目
● 依照需求判斷委由外部廠商協助，或內部自行開發

3.DX策略的持續改善
● 主動審視公司相關業務，與經營層進行改善提案
● DX成果的紀錄及KPI可視化，建立公司革新風氣，提高生產性
● 現有數位人財的盤點，規劃提高員工的資訊素養及IT技能的方式

4.跨部門協作
● 與日本資訊總部配合，確保與整體TOTO集團的資訊方向一致。
● 能接觸完整的製造體制，從生產到販售、服務等流程體制
● 與HR部門協力合作，建構易於工作及學習的職場環境
並協助建構完善的訓練環境，提升台灣TOTO整體競爭力。","數據分析師／資料分析師, 軟體專案主管, 營運管理師／系統整合／ERP專案師",不需負擔管理責任,日班,未知,需出差，一年累積時間約一個月以下,不拘,"Excel, PowerPoint, Word, C#, ASP.NET, Visual Studio .net","文書處理軟體操作, 軟硬體設備預算與採買規劃, 系統架構規劃與維護, 作業系統基本操作, 系統導入, 商業智慧, 流程圖軟體操作, 專案管理軟體操作, 系統架構規劃, 系統整合分析, 軟硬體設備成本控制","【我們需要你/妳】

1.主動積極，有良好的邏輯性及溝通力、問題解決能力
2.曾經參與過相關專案者佳，有程式開發經驗者佳
3.有參與過相關跨部門專案經驗佳(系統改善、工具導入)
4.熟悉微軟產品線者佳(Power apps、PowerBI、Dynamics、M365)
5.具備分析、資料製作能力、懂的如何活用AI、了解現行技術生態
6.有待過資訊業或製造業經驗佳(擇一)",2025-11-26,8sho1|2025-11-26
8dgew,數據/資料分析｜電力交易服務處｜數據分析師 Data Analyst,陽光伏特家_綠點能創股份有限公司,光電產業,台北市南港區,經歷不拘,大學,待遇面議,"年終獎金, 津貼/補助, 分紅配股, 優於勞基法特休, 不扣薪病/事假",11/26,"陽光伏特家致力實現永續未來，採扁平組織與透明溝通文化，重視每位夥伴的成長與發展，並在制度上透過每日7小時工時與優於法規的特休等福利，打造更友善與平衡的工作環境。

工作內容：
1. 收集、清理與整理數據，確保資料完整與正確。
2. 協助建立並維護數據處理流程，提升資料使用效率。
3. 製作報表與數據視覺化圖表，提供業務與策略參考。
4. 協助進行數據分析，提出基礎洞察與建議。
5. 與團隊及跨部門合作，支援專案所需的數據需求。

【福利制度】
－優於勞基法的各種福利假期，讓我們一起 work hard, play hard！
－每日工時 7 小時，兼顧效率與生活品質。
－每年一次健檢補助，關心你的健康不打折。
－學習資源補助，支持與職能相關的進修成長。

【友善職場環境】
－舒適明亮的上班工作空間，開放式的環境方便大家溝通交流
－便利的上班地點，MRT南港站，三鐵共構超方便
－不定期員工聚餐
－提供咖啡無限暢飲、餅乾零食吃到飽！","資料科學家, 數據分析師／資料分析師, 資料工程師",不需負擔管理責任,日班，10:00-18:00(工時7小時),未知,無需出差外派,不拘,"Python, Excel, PowerPoint",不拘,"1. 具備資料視覺化與報表製作經驗（如 Power BI、Tableau）。
2. 熟悉能源或相關領域市場運作模式。
3. 具跨部門合作與專案推動經驗。",2025-11-26,8dgew|2025-11-26
87tuc,"『軟體工程師』資訊發展部,無經驗可｜近台北車站",程曦資訊整合股份有限公司,電信相關業,台北市大同區,經歷不拘,專科,待遇面議,"距捷運北門站約360公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 家庭日",11/26,"『加入程曦，突破技術創新！』
　　您是否在尋找一個既能挑戰技術深度，又能發揮創新思維的職場？
　　在這裡，您不僅能夠穩定發揮技術專長，還有機會挑戰更高層次的技術領域，持續提升您的專業能力！


✅ 工作內容
    - 程式開發、安裝、測試及維護。
    - 撰寫相關技術/測試文件。
    - 客戶專案支援與客製開發。
    - AI 相關程式應用。

✅ 薪資與福利
    - 月薪：面議。
    - 佳節禮金：中秋節及端午節各3,500元，過節更有溫暖感。
    - 其他福利：年終獎金、公司團保、每季聚餐補助、生日禮、快閃活動、家庭日、尾牙等。
    - 本職務享有公司完善的獎金與激勵機制，詳情將於面談時說明。

✅ 我們需要這樣的你
    - 學歷：專科(含)以上畢業。
    - 技能要求：
       .對AI有興趣者。
       .對程式開發有熱情。
       .了解 MVC。
       .了解 Web & 前後端framework。 
       .具Java／.Net／Python 任一語言程式開發能力。
       .具MSSQL / MySQL / Mariadb 任一資料庫應用開發經驗。

✅ 立即加入我們！ 
    - 立即投遞履歷，將有專人與您聯繫！ 
    - 欲進一步了解請加入官方LINE@帳號：@980ksomj","軟體工程師, 資料庫管理人員, 系統工程師",不需負擔管理責任,日班，9:00 - 18:00,未知,無需出差外派,不拘,"ASP.NET, Java, Python, MS SQL, MySQL, jQuery","軟體程式設計, 網路程式設計, 資料庫程式設計",無,2025-11-26,87tuc|2025-11-26
8tnim,軟體工程師(AI工具應用)｜台北南港,程曦資訊整合股份有限公司,電信相關業,台北市南港區,經歷不拘,大學,待遇面議,"年終獎金, 節日獎金/禮品, 津貼/補助, 家庭日, 員工旅遊",11/26,"【AI 開發小夥伴】— 新手友善，肯學就好！
 
       嘿！你對程式有興趣，但覺得「要自己一行一行刻程式」很硬嗎？ 
       別擔心，在這裡，你不用是大神工程師，我們要找的是『願意學、敢用 AI 的新手夥伴！』
       在程曦，我們鼓勵使用 AI 輔助開發 (vibe coding)， 
       讓 AI 幫你分擔繁瑣的程式工作，你只需要帶著好奇心和學習力，就能快速進步！ 
 

✅ 你會做什麼？ 
  －跟著 AI 工具一起進行程式開發、測試和小功能維護。 
  －協助專案進行，幫忙改改程式、寫寫小功能。 
  －學習 Web & 前後端 framework，逐步成長。 
  －探索 AI 在軟體開發中的新玩法。 

✅ 我們能給你什麼？ 
  －薪水：面議 (我們知道你可能還在學習，但會給你合理支持)
  －獎金與福利： 
    ˙年終獎金 & 節慶禮金（中秋/端午各 3,500 元） 
    ˙生日禮、快閃活動、尾牙、家庭日…該有的都不會少！ 
    ˙每季聚餐補助，邊吃邊聊，順便學點技術！ 

✅ 我們想找這樣的你 
  －沒經驗？完全 OK！只要你願意嘗試。 
  －有 1 年內的程式經驗？更棒！學得更快！ 
  －對 AI 開發有興趣，想用新方式來寫程式。 
  －基本會一點 Java／.Net／Python 其中一種語言就更好了（不會也沒關係，會教）。 
  －對資料庫（MSSQL/MySQL/MariaDB）有聽過或碰過，加分。

✅ 立即加入我們！
    - 立即投遞履歷，將有專人與您聯繫！
    - 欲進一步了解請加入官方LINE@帳號：@980ksomj

    如果你正在找一份能「學習＋發揮」的第一份工作， 又想嘗試最新的 AI 輔助開發模式， 
    那這就是你的舞台！ 
    來程曦，讓我們一起跟 AI 當好夥伴， 開發出更多有趣、好玩的應用！ 

     #不用是高手 #AI陪你寫程式 #從零開始也行","軟體工程師, AI工程師",不需負擔管理責任,日班，9:00 - 18:00,未知,無需出差外派,不拘,--,不拘,,2025-11-26,8tnim|2025-11-26
8vfmx,【RD】AI Software Engineer,宏碁股份有限公司,電腦及其週邊設備製造業,新北市汐止區,1年以上,大學,待遇面議,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",11/26,"Acer’s AI Business Unit is seeking a skilled and motivated AI Software Engineer to design, develop, and deploy intelligent systems that enable the next generation of AI-powered products and services.
    You will collaborate closely with data scientists, AI researchers, and product engineers to integrate machine learning models into production environments, build scalable data and model pipelines, and automate end-to-end AI development workflows.
    This role plays a key part in bridging AI research and software engineering, ensuring Acer’s AI innovations can operate reliably, efficiently, and securely across platforms.
  宏碁AI事業單位誠摯邀請具備熱情與技術專長的AI軟體工程師（AI Software Engineer）加入團隊。
  您將與資料科學家、AI 研究人員及產品工程師密切合作，負責開發、整合與部署AI模型至實際產品與服務，建立可擴展的資料與模型管線，並自動化端到端AI開發流程。
  此職位是連結AI研究與軟體工程 的關鍵角色，確保宏碁的AI創新技術能在各平台上穩定、高效、安全地運作。


Key Responsibilities 
• Collaborate with data scientists and infrastructure teams to design and implement scalable AI development and deployment frameworks (ML Ops / Data Ops / DevOps). 
與資料科學家及基礎架構團隊協作，設計並實作可擴展的AI開發與部署框架（ML Ops / Data Ops / DevOps）。
• Build and maintain data transformation, ingestion, and processing infrastructures to ensure data reliability and performance.
建立與維護資料轉換與擷取流程，確保資料處理效能與可靠性。
• Develop APIs and backend systems to serve AI/ML models efficiently and reliably.
開發API與後端系統，以高效穩定地提供AI模型服務。
• Optimize AI model inference pipelines for performance, scalability, and resource utilization.
優化AI推論管線（Inference Pipeline），提升效能與運算效率。
• Deploy and monitor AI services on cloud or on-premise environments with automated CI/CD pipelines.
在雲端或地端環境進行AI模型部署與監控，整合自動化CI/CD流程。
• Work on edge deployment, image streaming, and performance optimization for AI applications.
參與邊緣運算部署、影像串流與AI程式效能優化。
• Troubleshoot software, infrastructure, or model-serving issues across the AI stack.
解決軟體開發、系統整合與模型運行過程中之技術問題。
• Continuously explore and evaluate emerging AI software technologies and open-source frameworks to enhance Acer’s AI platform.
持續學習並導入新興AI軟體技術與開源工具，強化宏碁AI平台能力。

【Core Skills】
•  Proficiency in Python (required); familiarity with Java or C++ is a plus.
熟悉 Python（必備），具 Java 或 C++ 經驗者佳。

•  Strong understanding of Linux environments (Ubuntu), Shell scripting, and network/infrastructure fundamentals.
精通 Linux 環境操作(Ubuntu)、Shell Script 及 網路/系統基礎知識。

•  Hands-on experience with Git / GitLab CI/CD for version control and automation.
熟悉 Git / GitLab CI/CD 版本控制與自動化流程。

•  Familiar with containerization and orchestration technologies (Docker, Kubernetes/k3s).
熟悉 容器化與系統編排技術（Docker、Kubernetes/k3s）。

•  Understanding of AI/ML frameworks such as PyTorch, TensorFlow, and related libraries like OpenCV, NumPy.
熟悉 AI/ML 框架（PyTorch、TensorFlow）及 OpenCV、NumPy 等函式庫。","資料科學家, 軟體工程師, AI工程師",不需負擔管理責任,日班,未知,無需出差外派,英文,"Linux, Git, Python, PyTorch, OpenCV",不拘,"- Bachelor’s degree or above in Computer Science, Electronic Engineering, Electrical Engineering, Information Engineering, or related fields.
大學以上學歷（資工、電子、電機、資訊或相關科系）。

>  1+ years of practical experience in AI system development, backend API implementation, or full-stack software engineering.
1 年以上 AI 系統開發、後端 API 實作或全端軟體工程 的實務經驗

>  Familiar with model deployment, cloud infrastructure, and system integration.
熟悉 AI 模型部署、雲端架構與系統整合

>  Candidates with ML Ops experience, GPU optimization, or AI framework implementation are highly preferred.
具 MLOps 經驗、GPU 效能調校或 AI 架構實作 經驗者尤佳


•  Experience in Generative AI, LLM fine-tuning, or AI-agent architectures.
備生成式人工智慧、LLM微調或人工智慧代理架構的經驗。
• Experience with ML Ops and model serving tools (ML flow, Fast API, Torch Serve, Triton Inference Server).
具 ML Ops / 模型服務平台（如 ML flow、Fast API、Triton）經驗。
•  Familiarity with Azure, AWS, or GCP cloud infrastructure and Terraform or IaC tools.
熟悉 Azure、AWS、GCP 雲端平台及 Terraform 或 IaC 工具
•  Experience with edge AI, image streaming, or real-time inference systems (e.g., NVIDIA Jetson).
具備 邊緣 AI、影像串流或即時推論系統 經驗（如 NVIDIA Jetson）。
• Strong problem-solving, debugging, and cross-functional collaboration skills.
具備優秀的 問題解決、除錯與跨部門溝通能力。
•  Passionate about learning new technologies and contributing to open-source AI frameworks.
對新技術保持熱忱，樂於探索與貢獻開源 AI 生態系。
•  Effective communication in English and Chinese (English reading – proficient; listening/speaking/writing – intermediate).
能以 中英文進行有效溝通（英文閱讀佳，聽說寫中等）。
•  Highly curious, proactive, and collaborative, with a strong sense of ownership and teamwork.
具備主動積極、好奇心強、合作精神佳 之特質，能獨立執行任務並具團隊精神。

**Why Join Us?**
•  At Acer, we are building the future of intelligent computing by combining cutting-edge AI research, world-class hardware innovation, and global software talent.
•  Joining Acer’s AI Business Unit means being part of a team that transforms ideas into scalable AI platforms, products, and enterprise solutions that serve customers worldwide.
•  You will collaborate with top AI engineers, researchers, and architects to design intelligent systems that power next-generation applications across LLM, multi-agent systems, secure AI gateways, and RAG pipelines.
•  Most importantly, you will directly work with world-advanced workstation-level and server-level hardware platforms, gaining hands-on experience with GPU clusters, AI servers, and edge devices that drive the industry’s AI infrastructure forward.",2025-11-26,8vfmx|2025-11-26
8g4ed,機器學習工程師AI / ML Engineer_先進工業電腦視覺解決方案新事業發展部(台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,其他電子零組件相關業,台北市內湖區,1年以上,碩士,待遇面議,"上市上櫃, 年終獎金, 津貼/補助, 分紅配股, 員工餐廳",11/26,"<部門簡介>
先進工業電腦視覺解決方案新事業發展部(Advanced Industrial Computer Vision Solution BD, AICBD) 致力於解決製造業中的人工作業問題，提供全面且靈活的解決方案，幫助企業在市場競爭中脫穎而出。AICBD專注於利用人工智慧（AI）和深度學習技術，為製造業提供高效且精確的電腦視覺解決方案，旨在提升生產效率和產品品質。
核心目標：
1. 提升組裝直通率：通過AI管理平台蒐集和分析工站影像資料，減少錯、漏、反造成品質不良的因素和降低重工率，提高生產效率。
2. 提高產品品質：在關鍵步驟應用AI電腦視覺技術，確保產品出貨後穩定可靠，增強競爭力。
3. 縮短新產品導入時間：利用AI技術，加快新產品導入流程，協助工廠提升競爭力。

主要職責 :
1. 負責設計與開發AI電腦視覺/大語言模型之機器學習技術
2. 協同開發、佈建和測試解決方案於應用場域 
3. 依專案需求研讀機器學習技術於電腦視覺/大語言模型相關應用議題

其他需求 :
1. 熟悉PyTorch、TensorFlow等深度學習Framework
2. 熟悉以下任一語言：Java, C/C++
3. 熟悉以下任一模型部署框架: OpenVINO、TensorRT、ONNXRUNTIME
4. 熟悉 Git 與相關版控流程
5. 熟悉Linux維運、開發和分析類型産品佈署者佳
6. 相關AI頂尖會議發表如CVPR, ICCV, NeurIPS, AAAI, ICML, ICLR者佳
7. 串接LLM API經驗者佳
8. 具備良好溝通能力，主動積極學習","AI工程師, 軟體工程師",不需負擔管理責任,日班,未知,無需出差外派,不拘,--,不拘,無,2025-11-26,8g4ed|2025-11-26
8vo0n,資深資料科學家,LINE GO_觔斗雲聯網科技股份有限公司,網際網路相關業,台北市松山區,3年以上,大學,待遇面議,"遠端工作, 年終獎金, 節日獎金/禮品, 津貼/補助, 優於勞基法特休",11/26,"前言
我們是LINE GO 的數據產品團隊。資料科學家將負責建立、分析與孵化公司數據產品。從資料收集、清理、特徵工程、模型訓練到結果解釋，打造數據產品與支援跨部門決策。此角色需要能獨立完成 end-to-end 的資料專案，並與產品經理、後端工程師及業務單位密切合作，將模型結果落地到實際應用中。如果你對交通運輸產業擁有極大的熱情，渴望擁有龐大的交通數據量與舞台，歡迎加入我們一起改變世界。

【工作內容】
● 與業務單位、產品PM合作，釐清問題並轉化為可量化的資料分析與模型框架
● 建立預測、分類、推薦、時間序列等機器學習模型，解決商業問題與提升決策品質
● 進行統計分析與假設驗證，找出關鍵商業洞察
● 建立 ETL / Feature Pipeline，確保資料品質與即時性
● 獨立模型部署至正式環境（例如 GCP Vertex AI / Cloud Run ）
● 設計實驗與A/B Test，並撰寫分析報告提供決策依據
● 監控模型效能、資料漂移與指標穩定性，定期回訓與優化
● 製作可視化報表（Looker studio  / Tableau) 並協助非技術單位理解結果","資料科學家, 資料工程師, 數據分析師／資料分析師",不需負擔管理責任,日班，10:00~19:00 (彈性上班),部分遠端,無需出差外派,英文,"Python, Looker studio, Cloud, ETL, Github, scikit-learn","資料庫軟體應用, 資料庫系統管理維護, 資料庫程式設計, 問題追蹤處理(Bug tracking), 專案溝通╱整合管理","【專業需求】
● 具備機器學習完整開發經驗（資料前處理、特徵工程、建模、評估、部署）
● 熟悉 Python（pandas、numpy、scikit-learn、xgboost、lightgbm、statsmodels 等）
● 具備 SQL 能力，能熟練操作 BigQuery 或相關資料庫語言
● 熟悉 Git / 版本控制與協作流程
● 理解統計學基礎與機器學習模型（假設檢定、迴歸分析、樹狀決策、時間序列等）
● 具備清楚表達與報告能力，能將技術成果轉化為商業價值
● 3年以上資料分析或資料科學相關經驗

【人格特質】
● 重視資料品質與實驗設計的嚴謹性
● 具備強烈的好奇心與解決問題的熱情
● 能在不確定性高的情境中快速找出方向與假設
● 樂於跨部門溝通，能將技術語言轉換成業務可理解的結論
● 對數據產品有敏銳的洞察與責任感，追求落地成效

【加分條件】
● 熟悉共享經濟平台模型, 曾參與定價策略、供需預測、推薦系統等專案
● 有Reinforcement Learning 或 Bandit 模型應用經驗
● 熟悉 Vertex AI Pipelines、GCP Pub/Sub、Cloud Run、Dataflow
● 熟悉 API 整合與模型服務化（Model Serving）",2025-11-26,8vo0n|2025-11-26
8vfoz,【RD】AI Data Scientist,宏碁股份有限公司,電腦及其週邊設備製造業,新北市汐止區,1年以上,大學,待遇面議,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",11/26,"Acer’s AI Business Unitis seeking a passionate and innovative AI Data Scientist to transform data and research into intelligent, real-world applications.
    You will leverage advanced data science, machine learning, and generative AI technologies to address complex business and product challenges — from optimizing industrial processes and supply chains to developing next-generation AI-driven decision systems and services for global clients.
    This position bridges AI research, data analytics, and software engineering, converting algorithms and insights into scalable, production-ready solutions that power Acer’s AI ecosystem.

  宏碁AI事業單位誠摯邀請具熱情與創新思維的AI資料科學家（AI Data Scientist）加入我們的團隊。
  本職位將運用先進的資料科學、機器學習及生成式AI技術，解決企業在製造流程、供應鏈、金融及營運等多面向的挑戰，並開發新世代的AI決策系統與智慧化應用服務。
  此角色將橫跨AI研究、資料分析與軟體工程，將模型與洞見轉化為可落地的產品級解決方案，推動宏碁AI生態系的智慧化發展。

Key Responsibilities 
• Develop and implement AI/ML models to solve real-world challenges across manufacturing, supply chain, finance, and operations.
• Collaborate with AI software engineers and product teams to translate research and models into deployable and maintainable services.
• Apply statistical, predictive, and generative modeling to extract actionable insights from large-scale structured and unstructured data.
• Design, automate, and maintain end-to-end data pipelines to ensure data quality and workflow efficiency.
• Leverage Generative AI and LLM-based architectures for intelligent automation and strategy generation.
• Conduct model performance monitoring, retraining, and validation using ML Ops best practices.
• Contribute to AI optimization research and next-generation AI-driven decision systems.

• 開發並實作AI/ML模型，解決製造、供應鏈、財務及營運領域之實際問題。
• 與AI軟體工程師與產品團隊 協作，將研究成果轉化為可維運的AI服務。
• 應用統計、預測與生成式建模技術，自大量資料中萃取可行洞察。
• 設計並自動化端到端資料流程(Data Pipeline)，確保資料品質與效能。
• 使用生成式AI與大型語言模型(LLM)架構，實現智慧化自動化與策略生成。
• 依據ML Ops準則，持續監控並改善模型效能。
• 參與AI優化與決策系統研發，推動宏碁次世代AI技術應用。


【Core Skills】
• Solid programming ability in Python (preferred) or R/Java/Scala/C++/MATLAB.
• Practical experience with machine learning or deep learning frameworks, such as Scikit-learn, PyTorch, TensorFlow, Keras, or OpenCV.
• Proficient in data preprocessing, feature engineering, and exploratory data analysis (EDA).
• Ability to perform statistical inference and data visualization effectively to communicate insights.
• Familiarity with SQL/NoSQL databases, Airflow ETL pipeline, and version control tools (Git/GitHub).
• Understanding of CI/CD, automated deployment, and DevOps workflows (Azure DevOps, GitLab CI). 
     
• 具備紮實的Python（優先）或R/Java/Scala/C++/MATLAB程式設計能力。
• 熟悉 Scikit-learn、PyTorch、TensorFlow、Keras、OpenCV 等常見ML/DL套件。
• 熟悉 資料前處理、特徵工程與探索式資料分析 (EDA)。
• 具備 統計推論與資料視覺化 能力，可有效傳達分析結果。
• 熟悉SQL/NoSQL資料庫、Airflow ETL Pipeline與版本控制 (Git/GitHub)。
• 理解CI/CD、自動化部署與DevOps流程（Azure DevOps, GitLab CI）。","資料科學家, 機器學習工程師",不需負擔管理責任,日班,未知,需出差，一年累積時間約一個月以下,英文,"Github, Python, scikit-learn",不拘,"• Experience in Generative AI, LLM fine-tuning, or AI-agent architectures.
• Understanding of information security, network management, and cloud infrastructure optimization.
• Strong prompt-engineering capability to guide LLMs in code generation and data analysis.
• Excellent problem-solving, debugging, and analytical thinking abilities.
• Effective communication in English and Chinese (English reading – proficient; listening/speaking/writing – intermediate).
• Highly curious, proactive, and collaborative, with a strong sense of ownership and teamwork.
     
• 具備生成式人工智慧、LLM微調或人工智慧代理架構的經驗。
• 具 資訊安全、網路管理或雲端基礎架構優化 經驗。
• 具備 Prompt Engineering 能力，能善用 LLM 進行程式開發與資料分析。
• 具 問題解決、除錯及分析思考能力。
• 能以 中英文進行有效溝通（英文閱讀佳，聽說寫中等）。
• 具備 主動積極、好奇心強、合作精神佳 之特質，能獨立執行任務並具團隊精神。


** Why You Join Us? **
• At Acer, we are building the future of intelligent computing by combining cutting-edge AI research, world-class hardware innovation, and global software talent.
• Joining Acer’s AI Business Unit means being part of a team that transforms ideas into scalable AI platforms, products, and enterprise solutions that serve customers worldwide.
• You will collaborate with top AI engineers, researchers, and architects to design intelligent systems that power next-generation applications across LLM, multi-agent systems, secure AI gateways, and RAG pipelines.
• Most importantly, you will directly work with world-advanced workstation-level and server-level hardware platforms, gaining hands-on experience with GPU clusters, AI servers, and edge devices that drive the industry’s AI infrastructure forward.",2025-11-26,8vfoz|2025-11-26
